From Class,To Class,structDep,semanticSim,commuCost,workflowCurency
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.service.AccountService,0,0.2500,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.service.CatalogService,0,0.2500,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.service.OrderService,0,0.3333,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.3333,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Account,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Cart,0,0.2000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.CartItem,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Item,0,0.5000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.LineItem,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Order,0,0.2000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Product,0,0.6667,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Sequence,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.service.AccountService,0,0.2000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.service.CatalogService,0,0.5000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.service.OrderService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.4000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.5000,0,0
org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.1667,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Account,0,0.2500,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Cart,0,0.5000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.CartItem,0,0.6667,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Category,0,0.5000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.LineItem,0,0.6667,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Order,0,0.5000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Product,3,0.6667,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Sequence,0,0.2500,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.AccountService,0,0.2000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.CatalogService,0,0.2000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.OrderService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.1667,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.1667,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Account,0,0.3333,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Cart,0,0.6667,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,5,1.0000,3,2
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Category,0,0.2500,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,7,0.6667,3,3
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Order,0,0.6667,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Product,0,0.3333,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Sequence,0,0.3333,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.AccountService,0,0.2500,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.CatalogService,0,0.2500,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.service.OrderService,0,0.3333,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.3333,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,18,0.2500,2,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,3,0.5000,2,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.CartItem,4,0.6667,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Category,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Item,0,0.5000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,8,0.6667,9,2
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Order,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Product,0,0.2500,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Sequence,0,0.2500,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.AccountService,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.CatalogService,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.service.OrderService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.1667,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.4000,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Account,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Cart,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.CartItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Category,0,0.6667,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Item,0,0.6667,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.LineItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Order,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Sequence,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.AccountService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.CatalogService,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.OrderService,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.3333,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Account,0,0.3333,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Cart,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.CartItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Category,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Item,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.LineItem,0,0.3333,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Order,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Product,0,0.3333,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.domain.Sequence,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.service.AccountService,0,0.6667,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.service.CatalogService,0,0.6667,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.service.OrderService,0,1.0000,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0.3333,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0.2000,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.web.actions.CartActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0.2500,0,0
org.mybatis.jpetstore.domain.Sequence,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0.2000,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,8,0,2,4
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Cart,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.CartItem,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Category,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Item,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.LineItem,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Order,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Product,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Sequence,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.AccountService,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.CatalogService,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.service.OrderService,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.web.actions.CartActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.web.actions.OrderActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Account,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Cart,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.CartItem,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Category,2,0,15,3
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Item,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.LineItem,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Order,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Product,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.domain.Sequence,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.AccountMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.AccountService,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.CatalogService,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.service.OrderService,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.web.actions.AccountActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.web.actions.CartActionBean,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0,0,0
