$0;1500625711434454128;1.13-SNAPSHOT;KIEKER;jwx-VirtualBox;1;false;0;NANOSECONDS;1
$1;1500625754338746845;public java.lang.String org.mybatis.jpetstore.domain.Category.getName();<no-session-id>;4363988038922010628;1500625754338731788;1500625754338742786;jwx-VirtualBox;32;1
$1;1500625754342705196;public java.util.List org.mybatis.jpetstore.web.actions.CatalogActionBean.getProductList();<no-session-id>;4363988038922010628;1500625754342689164;1500625754342700425;jwx-VirtualBox;33;1
$1;1500625754347089772;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754347075154;1500625754347085858;jwx-VirtualBox;34;1
$1;1500625754347150620;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754347145203;1500625754347147709;jwx-VirtualBox;35;1
$1;1500625754347550352;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;4363988038922010628;1500625754347537423;1500625754347547041;jwx-VirtualBox;36;1
$1;1500625754347615231;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754347610008;1500625754347612328;jwx-VirtualBox;37;1
$1;1500625754347684671;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754347678751;1500625754347681411;jwx-VirtualBox;38;1
$1;1500625754348178817;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;4363988038922010628;1500625754348173162;1500625754348175680;jwx-VirtualBox;39;1
$1;1500625754348251397;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754348245868;1500625754348248360;jwx-VirtualBox;40;1
$1;1500625754348281888;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754348276780;1500625754348279028;jwx-VirtualBox;41;1
$1;1500625754348568534;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;4363988038922010628;1500625754348522109;1500625754348524619;jwx-VirtualBox;42;1
$1;1500625754348615835;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754348610536;1500625754348612939;jwx-VirtualBox;43;1
$1;1500625754348696189;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;4363988038922010628;1500625754348682165;1500625754348692660;jwx-VirtualBox;44;1
$1;1500625754348914146;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;4363988038922010628;1500625754348908513;1500625754348911022;jwx-VirtualBox;45;1
$1;1500625754351762452;public void kieker.monitoring.probe.servlet.SessionAndTraceRegistrationFilter.doFilter(javax.servlet.ServletRequest, javax.servlet.ServletResponse, javax.servlet.FilterChain);70A00118640066D8BCED96D73ED8A0A5;4363988038922010628;1500625751939315925;1500625754351721872;jwx-VirtualBox;0;0
$1;1500625757949185360;public void org.mybatis.jpetstore.web.actions.CatalogActionBean.setProductId(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757949064949;1500625757949164822;jwx-VirtualBox;1;1
$1;1500625757967837095;public org.mybatis.jpetstore.domain.Item.<init>();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757967797259;1500625757967825547;jwx-VirtualBox;4;3
$1;1500625757968626968;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757968513824;1500625757968614269;jwx-VirtualBox;5;3
$1;1500625757968743961;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757968729061;1500625757968735556;jwx-VirtualBox;6;3
$1;1500625757968840767;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757968826966;1500625757968833160;jwx-VirtualBox;7;3
$1;1500625757968891863;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757968879225;1500625757968884936;jwx-VirtualBox;8;3
$1;1500625757969069738;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757969055246;1500625757969061951;jwx-VirtualBox;9;3
$1;1500625757969166957;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757969152937;1500625757969159487;jwx-VirtualBox;10;3
$1;1500625757969246415;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757969233379;1500625757969239258;jwx-VirtualBox;11;3
$1;1500625757969362232;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757969282935;1500625757969353416;jwx-VirtualBox;12;3
$1;1500625757970248516;public void org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757970155345;1500625757970237723;jwx-VirtualBox;13;3
$1;1500625757970858812;public void org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757970802994;1500625757970849317;jwx-VirtualBox;14;3
$1;1500625757971397398;public void org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757971354531;1500625757971388577;jwx-VirtualBox;15;3
$1;1500625757975833806;public void org.mybatis.jpetstore.domain.Item.setSupplierId(int);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757975775681;1500625757975824229;jwx-VirtualBox;16;3
$1;1500625757975982882;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757975968111;1500625757975974982;jwx-VirtualBox;17;3
$1;1500625757976126979;public org.mybatis.jpetstore.domain.Product.<init>();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757976112308;1500625757976119278;jwx-VirtualBox;18;3
