smilehouse.openinterface.OpenInterfaceIF_iterate_RequestStruct_SOAPSerializer,5.720616968341242E-5,3.06661959085175E-5,1.102946649247358E-5,1.7899917342655233E-5,2.155230516008885E-5,1.6368408290377422E-5,5.632491996407343E-5,1.2761333074197208E-5,2.2985280367515538E-5,1.0267931391754654E-5,1.1843037838104711E-5,2.2931738312068114E-5,8.539432010677652E-6,0.6119561354702884,2.256713944186589E-6,6.627196103394657E-6,7.165529251351375E-5,1.1804418774271991E-5,0.18168215584376396,5.4888725576407876E-5,0.20466750117402308,1.7861715990453657E-5,1.4896595615941707E-5,1.5106146918571232E-5,2.507613359497253E-5,1.2005800290350844E-5,5.276663938330523E-6,6.649565802324569E-6,5.3394872097705965E-5,1.461254362166817E-5,8.754252929914117E-6,2.475880814431748E-5,1.4400850979351592E-5,1.8691226609065386E-5,7.99059521863396E-6,2.1260101563469237E-5,3.7562514226336337E-6,2.5215446436840456E-5,8.389592310187324E-6,1.3750985376968298E-5,7.538199150213851E-6,5.034682892409027E-5,1.5649995555125065E-5,7.063229572676443E-4,4.844103924595727E-5,1.767351207550518E-5,2.59420997267556E-5,4.281594326368786E-5,1.0480877784188893E-5,9.53942732225053E-6
smilehouse.opensyncro.defaultcomponents.workspace.RemoteCustomerDestination,0.2080553479898274,1.737604581633951E-5,6.249504036128989E-6,1.014243125500543E-5,1.2211943177647903E-5,9.274649299268082E-6,0.3824907463491129,7.230812352347589E-6,1.3023893995812765E-5,5.8180038643986074E-6,6.7104889270727344E-6,1.2993556055908813E-5,4.838603467665134E-6,4.101499198541194E-5,1.2786967449610247E-6,3.755094484818974E-6,4.0601242143379234E-5,6.688606636078986E-6,1.652689697210022E-5,3.11009886345651E-5,3.902433355297083E-5,1.0120785647311508E-5,8.440692438744637E-6,8.55942816476121E-6,1.4208610925943743E-5,6.802713206727292E-6,2.9898574516179735E-6,3.767769578745309E-6,3.0254543038043852E-5,8.279743213694238E-6,4.96032505798225E-6,1.4028808332047797E-5,8.159794164165956E-6,0.02059619363525128,4.527622175016598E-6,1.2046375100743021E-5,2.128363003095671E-6,1.4287548213448294E-5,4.753701463236753E-6,7.79156803937495E-6,4.271286017918732E-6,2.8527464205282052E-5,0.14519154019630937,0.0675742883315579,2.7447607777626858E-5,1.0014145754358535E-5,0.17553404975640938,2.426032214882564E-5,5.938663312424042E-6,5.4052196988354595E-6
smilehouse.util.HibernateConfiguration,1.2415141032189652E-4,6.655316187606904E-5,2.393664577993494E-5,3.884720817762428E-5,4.677378499768325E-5,3.5523458137841864E-5,1.2223888242311927E-4,2.769522076931578E-5,0.5561238037406381,2.2283927947450925E-5,2.570229501875954E-5,4.9767493057684036E-5,1.8532660608825744E-5,1.5709427966539727E-4,4.897622414057454E-6,1.4382639971695167E-5,1.5550954856465932E-4,2.5618482184118142E-5,6.330077976998642E-5,1.1912198856863048E-4,1.494697249022167E-4,3.876430187960999E-5,3.232926387047388E-5,3.278404156141566E-5,5.442135644573398E-5,2.605552943570508E-5,1.1451654137375019E-5,0.14940742463348555,1.1587996035346593E-4,3.1712801417403323E-5,1.8998874659468374E-5,5.373268243648146E-5,3.125337649446547E-5,4.0564543247762563E-5,1.734155024178211E-5,4.613963156943905E-5,8.151986301904382E-6,5.472369946029993E-5,1.8207471730754804E-5,2.9843008845275182E-5,1.6359739884100995E-5,1.0926495954462583E-4,3.396432640837295E-5,0.2920192700924323,1.0512892880482029E-4,3.8355853252507956E-5,5.630071521327334E-5,9.292109172606408E-5,2.274607381545748E-5,2.0702895549114994E-5
smilehouse.gui.html.fieldbased.editor.WebEditor,3.21778490361976E-4,1.7249402082322293E-4,6.203955092758523E-5,1.006850906466803E-4,1.2122937537356077E-4,9.207051859011854E-5,3.168215564177857E-4,7.178111232313823E-5,1.2928970525622374E-4,5.775599870895023E-5,6.66158013713351E-5,1.2898853701041922E-4,4.8033377451267215E-5,4.071605793616845E-4,1.2693770797063873E-5,3.727725819233519E-5,4.030532367233448E-4,6.639857333233062E-5,1.6406442182420947E-4,3.087431189959675E-4,3.8739908237170025E-4,1.0047021219022644E-4,8.379173217430871E-5,8.497043548877073E-5,1.4105052753855634E-4,6.753132248490059E-5,2.968066146746065E-5,3.740308531887336E-5,3.003403554503762E-4,8.219397056210012E-5,4.9241721786723135E-5,1.3926560634858158E-4,8.100322244450473E-5,1.051361193130644E-4,4.494623011425301E-5,1.1958576188363569E-4,2.1128506223788414E-5,1.4183414714099402E-4,4.719054541257456E-5,7.734779902373851E-5,4.2401551371601137E-5,2.8319544369711516E-4,8.802952499300045E-5,0.638551108595815,2.7247558377692035E-4,9.941158561257785E-5,1.459214929629475E-4,0.355174359041055,5.8953799034766964E-5,5.365824245285248E-5
smilehouse.openinterface.OpenInterfaceIF_importProducts2_RequestStruct,1.94300211804351E-4,1.0415744303863769E-4,3.746147814888582E-5,6.079689918422838E-5,7.320219970419586E-5,5.559514323928973E-5,1.9130705550551665E-4,4.334374653895688E-5,7.806928638128415E-5,3.487493141476599E-5,4.0224765494444904E-5,7.788743129866897E-5,2.900409968969886E-5,2.458566659299176E-4,7.66490747001418E-6,2.250920859908446E-5,2.4337652021326427E-4,4.0093596211063244E-5,9.906737978086189E-5,1.8642903491333302E-4,0.5977329101968054,6.066714865443315E-5,5.059614547450653E-5,5.1307884482905836E-5,8.517084950279658E-5,4.077758661706569E-5,1.7922138932075475E-5,2.258518706896166E-5,1.8135517576627305E-4,4.963136557478183E-5,2.9733736900836133E-5,8.409305662460874E-5,4.891235352648068E-5,6.348457358922915E-5,2.7139980740112357E-5,7.220973296455244E-5,1.2758072268203883E-5,8.564402424656645E-5,2.849517057063545E-5,4.67050911824673E-5,2.560342179201396E-5,1.710025260870539E-4,5.315506120976433E-5,0.3985668252536466,1.6452952955250074E-4,6.002791584546744E-5,8.811209524170913E-5,1.4542394449369782E-4,3.55982018134297E-5,3.24005742643339E-5
smilehouse.openinterface.OpenInterfaceIF_getVersion_RequestStruct,3.6946400334466174E-4,1.9805653079754858E-4,7.123341533993114E-5,1.156059767251567E-4,1.3919479297110052E-4,1.0571478022057373E-4,3.637724835128812E-4,8.241861379113913E-5,1.4844961215860198E-4,6.631506809598555E-5,7.64878368127699E-5,1.481038127061586E-4,5.515161658986848E-5,4.6749917151353505E-4,1.4574906392739335E-5,4.280150929280459E-5,0.12395745005547966,7.623841696858138E-5,1.8837771917386867E-4,3.544968733648047E-4,0.08689107598308585,1.1535925465661615E-4,9.620913063977148E-5,9.75625102420776E-5,1.619533130373266E-4,7.753903229629635E-5,3.407914554931817E-5,4.294598319423862E-5,3.4484887403700497E-4,9.437459098184422E-5,5.653902982278588E-5,1.599038779499752E-4,9.30073816136636E-5,1.2071661935460714E-4,5.160697377435585E-5,1.373076064806179E-4,2.4259615629845458E-5,1.628530600499075E-4,5.418388223692203E-5,8.881024783558891E-5,4.868518992724846E-5,3.251631960843705E-4,1.0107493723354909E-4,0.7825781631113246,3.1285472152799544E-4,1.1414374639506294E-4,1.6754612436484738E-4,2.7652524006981197E-4,6.769037476451383E-5,6.1610050587185E-5
smilehouse.openinterface.ImportResult_SOAPBuilder,1.0959753963687769E-4,5.875134867787776E-5,2.113062975151426E-5,3.4293274856808556E-5,4.129064456021137E-5,3.135915734832723E-5,1.0790921123489332E-4,2.4448599078715628E-5,4.4035987553174376E-5,1.967165471704141E-5,2.2689297606637067E-5,4.3933409849115286E-5,1.636013638819173E-5,1.386786223186266E-4,4.323489884322749E-6,1.2696609328027835E-5,1.372796641499147E-4,2.261530988114226E-5,5.588023286967663E-5,1.0515770082614666E-4,1.319478695973758E-4,3.422008739756658E-5,2.8539408205582227E-5,2.8940873769926036E-5,4.804171579436366E-5,2.3001123488533393E-5,1.0109213539940082E-5,1.2739465963574382E-5,1.0229572515551907E-4,2.7995211663957187E-5,1.6771697664556574E-5,4.743377282512758E-5,2.7589643647683345E-5,3.580929225791001E-5,1.5308656060054556E-5,4.073083089955577E-5,7.1963551563833855E-6,4.830861610936541E-5,1.6073068356814194E-5,0.32972667741608613,1.4441940174082256E-5,0.4323702258602048,2.9982797618892516E-5,0.2358067677148495,9.280500247073454E-5,3.385951988985662E-5,4.970076337572634E-5,8.202825088450182E-5,2.007962471074139E-5,1.8275961663740275E-5
smilehouse.openinterface.OpenInterfaceIF_closeIterator_ResponseStruct,3.605585907319733E-4,1.9328265536875763E-4,6.951643357805345E-5,1.1281945648526753E-4,1.358396973360082E-4,1.0316667342640345E-4,3.5500425701856004E-4,8.04320284780059E-5,1.4487144206219704E-4,6.471663620955799E-5,7.464420457660246E-5,1.4453397762149327E-4,5.3822264075027146E-5,4.5623075840500754E-4,1.4223598676578493E-5,4.1769838826270217E-5,0.19328042974238485,7.440079664861194E-5,1.8383713795054582E-4,3.45952222468797E-4,4.3408764530429166E-4,1.1257868130681944E-4,9.389014422242367E-5,9.521090250392175E-5,1.5804965513416724E-4,7.567006246449671E-5,3.325771545096721E-5,4.1910830386549524E-5,0.036491937025035774,9.209982357490145E-5,5.5176235654112016E-5,1.560496188107294E-4,9.076556887467591E-5,1.1780691422818169E-4,5.0363059912674165E-5,1.339979988341326E-4,2.3674871554500554E-5,1.589277150045055E-4,5.287785560399191E-5,8.666960113103501E-5,4.751170157519161E-5,3.1732559241695574E-4,9.863866735957532E-5,0.7637152119683283,3.0531379640995224E-4,1.1139247117040229E-4,1.6350765957364043E-4,2.698599862471083E-4,6.605879303604117E-5,6.012502656156791E-5
smilehouse.opensyncro.defaultcomponents.jdbc.JDBCSource,0.17271897293073651,1.1836127423190805E-5,4.257005701136593E-6,6.9087702682224384E-6,8.318469982364255E-6,0.0671662205933002,0.2716134349209248,4.925448360356457E-6,8.87155055355648E-6,3.963078586204214E-6,4.571017068685193E-6,8.85088510836511E-6,3.295935553975315E-6,2.7938385783029294E-5,8.71016212143388E-7,2.5578763591106534E-6,2.7656549748330355E-5,4.556111399855188E-6,1.1257708487841295E-5,2.1185214884721675E-5,2.6582399092417202E-5,6.894025822131215E-6,5.749588387422368E-6,5.830468191589073E-6,9.678550068501114E-6,4.633837939269965E-6,2.036616048816444E-6,0.31808957930939535,2.0608637334045372E-5,5.639953804474333E-6,3.378849254156287E-6,9.556073042665267E-6,7.435791588814793E-4,7.2141892167063875E-6,3.0841028824387668E-6,8.205689153159947E-6,1.449787596885627E-6,9.732320172656014E-6,3.2381024339708973E-6,5.307421096563995E-6,2.9094931092688344E-6,1.943219446835945E-5,6.040375601702235E-6,0.046029913576289536,1.8696623302653867E-5,0.1232563135836479,1.001278407360982E-5,1.6525524121900017E-5,4.045268781645456E-6,3.681900346141875E-6
smilehouse.opensyncro.defaultcomponents.workspace.RemoteOrderConverter,0.5428192915922044,4.418390161175919E-5,1.589127206346104E-5,2.5790228076734896E-5,3.105259398787984E-5,2.358362750960793E-5,8.115303017716685E-5,1.838654806312675E-5,3.311722684178544E-5,1.479405113444713E-5,1.706346689312781E-5,3.304008336702784E-5,1.2303626602583994E-5,1.0429313951200763E-4,3.2514768761433117E-6,9.548474204878287E-6,0.02214331694684891,1.700782448733958E-5,4.20246814195376E-5,0.005589102732281802,9.923128267465464E-5,2.5735187510498844E-5,2.1463037574286162E-5,2.1764959409182786E-5,3.612973134551262E-5,1.729797528137346E-5,7.602625411545038E-6,9.580704501050411E-6,0.019361997818818026,2.1053775029787774E-5,1.2613140909086399E-5,3.567252835455554E-5,2.074876794941981E-5,2.693034766886952E-5,1.1512861719554054E-5,3.063158660234829E-5,5.412012751166771E-6,3.63304534995323E-5,1.2087737334682942E-5,1.981244060310572E-5,1.0861048777503785E-5,7.253978753289772E-5,0.11848795646025398,0.18560330678972897,6.979392287193573E-5,2.546402302417526E-5,0.08544267150061648,6.168927604261505E-5,0.01930016727067399,1.3744421365343746E-5
