traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
10,35,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,36,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,37,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,38,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,39,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,40,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,41,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,42,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,43,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,44,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,45,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,46,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,47,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,48,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,49,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,50,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,51,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,52,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
