method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setCreditCard,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setExpiryDate,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setLocale,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setOrderDate,void,java.util.Date,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setOrderId,void,int,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setTotalPrice,void,java.math.BigDecimal,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setUsername,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setStatus,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.getOrderId,int,,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.<init>,public,,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.setOrderId,void,int,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.setLineNumber,void,int,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.setItemId,void,java.lang.String,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.setQuantity,void,int,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.LineItem.setUnitPrice,void,java.math.BigDecimal,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.mapper.OrderMapper.getOrder,org.mybatis.jpetstore.domain.Order.setLineItems,void,java.util.List,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.Order.getLineItems,java.util.List,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.LineItem.getItemId,java.lang.String,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.mapper.ItemMapper.getItem,org.mybatis.jpetstore.domain.Item,java.lang.String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.LineItem.setItem,void,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
