From Class,To Class,uniTraceCount,uniTraceIDList,uniFlowTypeList,traceCount,traceList
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.persistence.DaoConfig,1,19,null,1,19
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,1,22,null,1,22
org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item,1,24,null,1,24
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper,2,28 44,null,2,28 44
org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.domain.Sequence,2,28 44,null,12,28 44 28 44 28 44 28 44 28 44 28 44
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order,3,28 44 34,null null,3,28 44 34
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper,3,28 44 34,null null,3,28 44 34
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.Order,2,28 44,null,2,28 44
org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.domain.LineItem,2,28 44,null,4,28 44 28 44
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.LineItem,3,28 44 34,null null,18,28 44 28 44 28 44 28 44 28 44 28 44 34 34 34 34 34 34
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.AbstractActionBean,3,28 44 37,null null,3,28 44 37
org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.persistence.DaoConfig,2,30 39,null null,3,30 30 39
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.BaseSqlMapDao,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.ItemMapper,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.SequenceMapper,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.AccountMapper,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.CategoryMapper,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.ProductMapper,1,30,null,1,30
org.mybatis.jpetstore.persistence.DaoConfig,org.mybatis.jpetstore.mapper.OrderMapper,1,30,null,1,30
org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem,1,34,null,2,34 34
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem,1,42,null,1,42
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item,1,42,null,1,42
