From Method,To Method,uniTraceCount,uniTraceIDList,flowType
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory(java.lang.String),org.mybatis.jpetstore.domain.Category.setName(java.lang.String),3,2 36 43,null
org.mybatis.jpetstore.mapper.CategoryMapper.getCategory(java.lang.String),org.mybatis.jpetstore.domain.Category.setDescription(java.lang.String),3,2 36 43,null
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders(),org.mybatis.jpetstore.web.actions.AccountActionBean.getAccount(),3,3 6 31,null
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders(),org.mybatis.jpetstore.domain.Account.getUsername(),3,3 6 31,null
org.mybatis.jpetstore.web.actions.OrderActionBean.listOrders(),org.mybatis.jpetstore.service.OrderService.getOrdersByUsername(java.lang.String),3,3 6 31,null
org.mybatis.jpetstore.service.OrderService.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),3,3 6 31,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.<init>(),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillAddress1(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillAddress2(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillCity(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillCountry(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillState(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillToFirstName(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillToLastName(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setBillZip(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipAddress1(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipAddress2(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipCity(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipCountry(java.lang.String),2,3 6,null
