org.mybatis.jpetstore.domain.Account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Cart,0,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.CartItem,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Item,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.LineItem,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Order,18,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.domain.Sequence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.AccountMapper,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.CategoryMapper,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.ItemMapper,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.LineItemMapper,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.service.AccountService,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.service.CatalogService,0,0,0,2,2,0,0,5,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.service.OrderService,0,0,0,0,2,12,13,0,9,0,0,4,3,5,0,3,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.web.actions.AbstractActionBean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.mybatis.jpetstore.web.actions.AccountActionBean,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,0
org.mybatis.jpetstore.web.actions.CartActionBean,0,11,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0
org.mybatis.jpetstore.web.actions.CatalogActionBean,0,0,0,6,7,0,0,6,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0
org.mybatis.jpetstore.web.actions.OrderActionBean,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,13,10,6,0,0
