method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities,org.mybatis.jpetstore.web.actions.CartActionBean.getCart,Cart,,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.web.actions.CartActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.web.actions.CartActionBean.getCart,Cart,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean
org.mybatis.jpetstore.web.actions.OrderActionBean.newOrderForm,org.mybatis.jpetstore.domain.Order.initOrder,void,"Account,Cart",org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean.setOrderId,org.mybatis.jpetstore.domain.Order.setOrderId,void,int,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.Order.setOrderId,void,int,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.service.OrderService.getOrder,Order,int,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.service.OrderService
org.mybatis.jpetstore.web.actions.OrderActionBean.viewOrder,org.mybatis.jpetstore.domain.Order.getUsername,String,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.web.actions.CatalogActionBean.searchProducts,org.mybatis.jpetstore.service.CatalogService.searchProductList,List,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,List,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,List,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.AccountActionBean.newAccount,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,List,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.AccountActionBean.signon,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,List,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService
